country,seasonality,year_month,unemployment,unemployment_rate,date,year,month
at,sa,1993.01,144000,3.8,1/1/1993,1993,1
at,sa,1993.02,145000,3.8,2/1/1993,1993,2
at,sa,1993.03,147000,3.9,3/1/1993,1993,3
at,sa,1993.04,149000,3.9,4/1/1993,1993,4
at,sa,1993.05,151000,4,5/1/1993,1993,5
at,sa,1993.06,152000,4,6/1/1993,1993,6
at,sa,1993.07,154000,4,7/1/1993,1993,7
at,sa,1993.08,154000,4.1,8/1/1993,1993,8
at,sa,1993.09,154000,4,9/1/1993,1993,9
at,sa,1993.11,153000,4,11/1/1993,1993,11
at,sa,1993.12,153000,4,12/1/1993,1993,12
at,sa,1994.01,151000,4,1/1/1994,1994,1
at,sa,1994.02,148000,3.9,2/1/1994,1994,2
at,sa,1994.03,145000,3.8,3/1/1994,1994,3
at,sa,1994.04,145000,3.8,4/1/1994,1994,4
at,sa,1994.05,147000,3.9,5/1/1994,1994,5
at,sa,1994.06,145000,3.8,6/1/1994,1994,6
at,sa,1994.07,145000,3.8,7/1/1994,1994,7
at,sa,1994.08,144000,3.8,8/1/1994,1994,8
at,sa,1994.09,145000,3.8,9/1/1994,1994,9
at,sa,1994.11,145000,3.8,11/1/1994,1994,11
at,sa,1994.12,144000,3.8,12/1/1994,1994,12
at,sa,1995.01,145000,3.8,1/1/1995,1995,1
at,sa,1995.02,143000,3.8,2/1/1995,1995,2
at,sa,1995.03,142000,3.8,3/1/1995,1995,3
at,sa,1995.04,143000,3.8,4/1/1995,1995,4
at,sa,1995.05,145000,3.8,5/1/1995,1995,5
at,sa,1995.06,147000,3.9,6/1/1995,1995,6
at,sa,1995.07,147000,3.9,7/1/1995,1995,7
at,sa,1995.08,150000,4,8/1/1995,1995,8
at,sa,1995.09,151000,4,9/1/1995,1995,9
at,sa,1995.11,156000,4.2,11/1/1995,1995,11
at,sa,1995.12,159000,4.2,12/1/1995,1995,12
at,sa,1996.01,160000,4.3,1/1/1996,1996,1
at,sa,1996.02,163000,4.3,2/1/1996,1996,2
at,sa,1996.03,167000,4.5,3/1/1996,1996,3
at,sa,1996.04,168000,4.5,4/1/1996,1996,4
at,sa,1996.05,165000,4.4,5/1/1996,1996,5
at,sa,1996.06,162000,4.3,6/1/1996,1996,6
at,sa,1996.07,161000,4.3,7/1/1996,1996,7
at,sa,1996.08,161000,4.3,8/1/1996,1996,8
at,sa,1996.09,160000,4.3,9/1/1996,1996,9
at,sa,1996.11,160000,4.3,11/1/1996,1996,11
at,sa,1996.12,157000,4.2,12/1/1996,1996,12
at,sa,1997.01,159000,4.2,1/1/1997,1997,1
at,sa,1997.02,159000,4.3,2/1/1997,1997,2
at,sa,1997.03,159000,4.2,3/1/1997,1997,3
at,sa,1997.04,161000,4.3,4/1/1997,1997,4
at,sa,1997.05,163000,4.4,5/1/1997,1997,5
at,sa,1997.06,164000,4.4,6/1/1997,1997,6
at,sa,1997.07,166000,4.4,7/1/1997,1997,7
at,sa,1997.08,167000,4.5,8/1/1997,1997,8
at,sa,1997.09,168000,4.5,9/1/1997,1997,9
at,sa,1997.11,172000,4.6,11/1/1997,1997,11
at,sa,1997.12,170000,4.5,12/1/1997,1997,12
at,sa,1998.01,171000,4.5,1/1/1998,1998,1
at,sa,1998.02,173000,4.6,2/1/1998,1998,2
at,sa,1998.03,176000,4.7,3/1/1998,1998,3
at,sa,1998.04,176000,4.7,4/1/1998,1998,4
at,sa,1998.05,175000,4.6,5/1/1998,1998,5
at,sa,1998.06,175000,4.6,6/1/1998,1998,6
at,sa,1998.07,172000,4.5,7/1/1998,1998,7
at,sa,1998.08,168000,4.4,8/1/1998,1998,8
at,sa,1998.09,166000,4.4,9/1/1998,1998,9
at,sa,1998.11,161000,4.2,11/1/1998,1998,11
at,sa,1998.12,156000,4.1,12/1/1998,1998,12
at,sa,1999.01,153000,4,1/1/1999,1999,1
at,sa,1999.02,153000,4,2/1/1999,1999,2
at,sa,1999.03,152000,4,3/1/1999,1999,3
at,sa,1999.04,151000,4,4/1/1999,1999,4
at,sa,1999.05,150000,4,5/1/1999,1999,5
at,sa,1999.06,148000,3.9,6/1/1999,1999,6
at,sa,1999.07,148000,3.9,7/1/1999,1999,7
at,sa,1999.08,148000,3.9,8/1/1999,1999,8
at,sa,1999.09,148000,3.9,9/1/1999,1999,9
at,sa,1999.11,149000,3.9,11/1/1999,1999,11
at,sa,1999.12,149000,3.9,12/1/1999,1999,12
at,sa,2000.01,149000,3.9,1/1/2000,2000,1
at,sa,2000.02,151000,4,2/1/2000,2000,2
at,sa,2000.03,148000,3.9,3/1/2000,2000,3
at,sa,2000.04,143000,3.8,4/1/2000,2000,4
at,sa,2000.05,139000,3.7,5/1/2000,2000,5
at,sa,2000.06,137000,3.6,6/1/2000,2000,6
at,sa,2000.07,133000,3.5,7/1/2000,2000,7
at,sa,2000.08,131000,3.5,8/1/2000,2000,8
at,sa,2000.09,130000,3.4,9/1/2000,2000,9
at,sa,2000.11,129000,3.4,11/1/2000,2000,11
at,sa,2000.12,127000,3.4,12/1/2000,2000,12
at,sa,2001.01,130000,3.4,1/1/2001,2001,1
at,sa,2001.02,131000,3.5,2/1/2001,2001,2
at,sa,2001.03,130000,3.4,3/1/2001,2001,3
at,sa,2001.04,130000,3.4,4/1/2001,2001,4
at,sa,2001.05,131000,3.5,5/1/2001,2001,5
at,sa,2001.06,135000,3.5,6/1/2001,2001,6
at,sa,2001.07,137000,3.6,7/1/2001,2001,7
at,sa,2001.08,140000,3.7,8/1/2001,2001,8
at,sa,2001.09,144000,3.7,9/1/2001,2001,9
at,sa,2001.11,152000,3.9,11/1/2001,2001,11
at,sa,2001.12,157000,4.1,12/1/2001,2001,12
at,sa,2002.01,160000,4.1,1/1/2002,2002,1
at,sa,2002.02,161000,4.2,2/1/2002,2002,2
at,sa,2002.03,162000,4.2,3/1/2002,2002,3
at,sa,2002.04,164000,4.2,4/1/2002,2002,4
at,sa,2002.05,165000,4.2,5/1/2002,2002,5
at,sa,2002.06,164000,4.2,6/1/2002,2002,6
at,sa,2002.07,164000,4.2,7/1/2002,2002,7
at,sa,2002.08,165000,4.2,8/1/2002,2002,8
at,sa,2002.09,166000,4.2,9/1/2002,2002,9
at,sa,2002.11,161000,4.1,11/1/2002,2002,11
at,sa,2002.12,161000,4.1,12/1/2002,2002,12
at,sa,2003.01,160000,4.1,1/1/2003,2003,1
at,sa,2003.02,159000,4.1,2/1/2003,2003,2
at,sa,2003.03,159000,4.1,3/1/2003,2003,3
at,sa,2003.04,159000,4.1,4/1/2003,2003,4
at,sa,2003.05,163000,4.2,5/1/2003,2003,5
at,sa,2003.06,167000,4.3,6/1/2003,2003,6
at,sa,2003.07,169000,4.4,7/1/2003,2003,7
at,sa,2003.08,169000,4.4,8/1/2003,2003,8
at,sa,2003.09,171000,4.4,9/1/2003,2003,9
at,sa,2003.11,171000,4.5,11/1/2003,2003,11
at,sa,2003.12,173000,4.5,12/1/2003,2003,12
at,sa,2004.01,175000,4.6,1/1/2004,2004,1
at,sa,2004.02,178000,4.6,2/1/2004,2004,2
at,sa,2004.03,184000,4.8,3/1/2004,2004,3
at,sa,2004.04,187000,4.8,4/1/2004,2004,4
at,sa,2004.05,188000,4.8,5/1/2004,2004,5
at,sa,2004.06,192000,4.9,6/1/2004,2004,6
at,sa,2004.07,190000,4.8,7/1/2004,2004,7
at,sa,2004.08,192000,4.9,8/1/2004,2004,8
at,sa,2004.09,196000,5,9/1/2004,2004,9
at,sa,2004.11,202000,5.1,11/1/2004,2004,11
at,sa,2004.12,199000,5,12/1/2004,2004,12
at,sa,2005.01,195000,4.9,1/1/2005,2005,1
at,sa,2005.02,197000,4.9,2/1/2005,2005,2
at,sa,2005.03,204000,5.1,3/1/2005,2005,3
at,sa,2005.04,213000,5.3,4/1/2005,2005,4
at,sa,2005.05,216000,5.4,5/1/2005,2005,5
at,sa,2005.06,216000,5.4,6/1/2005,2005,6
at,sa,2005.07,209000,5.2,7/1/2005,2005,7
at,sa,2005.08,207000,5.1,8/1/2005,2005,8
at,sa,2005.09,209000,5.2,9/1/2005,2005,9
at,sa,2005.11,212000,5.2,11/1/2005,2005,11
at,sa,2005.12,212000,5.2,12/1/2005,2005,12
at,sa,2006.01,215000,5.3,1/1/2006,2006,1
at,sa,2006.02,214000,5.2,2/1/2006,2006,2
at,sa,2006.03,212000,5.2,3/1/2006,2006,3
at,sa,2006.04,201000,4.9,4/1/2006,2006,4
at,sa,2006.05,199000,4.9,5/1/2006,2006,5
at,sa,2006.06,193000,4.7,6/1/2006,2006,6
at,sa,2006.07,186000,4.5,7/1/2006,2006,7
at,sa,2006.08,181000,4.4,8/1/2006,2006,8
at,sa,2006.09,179000,4.3,9/1/2006,2006,9
at,sa,2006.11,189000,4.6,11/1/2006,2006,11
at,sa,2006.12,187000,4.5,12/1/2006,2006,12
at,sa,2007.01,186000,4.5,1/1/2007,2007,1
at,sa,2007.02,182000,4.4,2/1/2007,2007,2
at,sa,2007.03,182000,4.4,3/1/2007,2007,3
at,sa,2007.04,188000,4.5,4/1/2007,2007,4
at,sa,2007.05,192000,4.6,5/1/2007,2007,5
at,sa,2007.06,195000,4.6,6/1/2007,2007,6
at,sa,2007.07,200000,4.7,7/1/2007,2007,7
at,sa,2007.08,199000,4.7,8/1/2007,2007,8
at,sa,2007.09,188000,4.5,9/1/2007,2007,9
at,sa,2007.11,170000,4,11/1/2007,2007,11
at,sa,2007.12,167000,4,12/1/2007,2007,12
at,sa,2008.01,175000,4.1,1/1/2008,2008,1
at,sa,2008.02,169000,4,2/1/2008,2008,2
at,sa,2008.03,161000,3.8,3/1/2008,2008,3
at,sa,2008.04,155000,3.7,4/1/2008,2008,4
at,sa,2008.05,149000,3.5,5/1/2008,2008,5
at,sa,2008.06,148000,3.5,6/1/2008,2008,6
at,sa,2008.07,156000,3.7,7/1/2008,2008,7
at,sa,2008.08,159000,3.8,8/1/2008,2008,8
at,sa,2008.09,162000,3.8,9/1/2008,2008,9
at,sa,2008.11,170000,4,11/1/2008,2008,11
at,sa,2008.12,178000,4.2,12/1/2008,2008,12
at,sa,2009.01,182000,4.3,1/1/2009,2009,1
at,sa,2009.02,190000,4.5,2/1/2009,2009,2
at,sa,2009.03,196000,4.6,3/1/2009,2009,3
at,sa,2009.04,200000,4.7,4/1/2009,2009,4
at,sa,2009.05,206000,4.8,5/1/2009,2009,5
at,sa,2009.06,213000,5,6/1/2009,2009,6
at,sa,2009.07,221000,5.2,7/1/2009,2009,7
at,sa,2009.08,223000,5.2,8/1/2009,2009,8
at,sa,2009.09,220000,5.1,9/1/2009,2009,9
at,sa,2009.11,202000,4.7,11/1/2009,2009,11
at,sa,2009.12,197000,4.6,12/1/2009,2009,12
at,sa,2010.01,192000,4.5,1/1/2010,2010,1
at,sa,2010.02,191000,4.5,2/1/2010,2010,2
at,sa,2010.03,189000,4.5,3/1/2010,2010,3
at,sa,2010.04,195000,4.6,4/1/2010,2010,4
at,sa,2010.05,196000,4.6,5/1/2010,2010,5
at,sa,2010.06,194000,4.5,6/1/2010,2010,6
at,sa,2010.07,188000,4.4,7/1/2010,2010,7
at,sa,2010.08,190000,4.5,8/1/2010,2010,8
at,sa,2010.09,198000,4.6,9/1/2010,2010,9
at,sa,2010.11,211000,4.9,11/1/2010,2010,11
at,sa,2010.12,214000,5,12/1/2010,2010,12
be,sa,1983.01,397000,10.4,1/1/1983,1983,1
be,sa,1983.02,400000,10.5,2/1/1983,1983,2
be,sa,1983.03,403000,10.6,3/1/1983,1983,3
be,sa,1983.04,407000,10.6,4/1/1983,1983,4
be,sa,1983.05,409000,10.7,5/1/1983,1983,5
be,sa,1983.06,412000,10.7,6/1/1983,1983,6
be,sa,1983.07,414000,10.8,7/1/1983,1983,7
be,sa,1983.08,417000,10.9,8/1/1983,1983,8
be,sa,1983.09,421000,10.9,9/1/1983,1983,9
be,sa,1983.11,423000,11,11/1/1983,1983,11
be,sa,1983.12,421000,10.9,12/1/1983,1983,12
be,sa,1984.01,420000,10.9,1/1/1984,1984,1
be,sa,1984.02,420000,10.8,2/1/1984,1984,2
be,sa,1984.03,420000,10.8,3/1/1984,1984,3
be,sa,1984.04,420000,10.8,4/1/1984,1984,4
be,sa,1984.05,421000,10.8,5/1/1984,1984,5
be,sa,1984.06,421000,10.8,6/1/1984,1984,6
be,sa,1984.07,422000,10.8,7/1/1984,1984,7
be,sa,1984.08,424000,10.9,8/1/1984,1984,8
be,sa,1984.09,425000,10.9,9/1/1984,1984,9
be,sa,1984.11,419000,10.7,11/1/1984,1984,11
be,sa,1984.12,415000,10.6,12/1/1984,1984,12
be,sa,1985.01,414000,10.6,1/1/1985,1985,1
be,sa,1985.02,414000,10.6,2/1/1985,1985,2
be,sa,1985.03,407000,10.4,3/1/1985,1985,3
be,sa,1985.04,400000,10.2,4/1/1985,1985,4
be,sa,1985.05,396000,10.1,5/1/1985,1985,5
be,sa,1985.06,392000,10,6/1/1985,1985,6
be,sa,1985.07,388000,9.9,7/1/1985,1985,7
be,sa,1985.08,387000,9.9,8/1/1985,1985,8
be,sa,1985.09,388000,9.9,9/1/1985,1985,9
be,sa,1985.11,388000,9.9,11/1/1985,1985,11
be,sa,1985.12,390000,10,12/1/1985,1985,12
be,sa,1986.01,392000,10,1/1/1986,1986,1
be,sa,1986.02,393000,10.1,2/1/1986,1986,2
be,sa,1986.03,394000,10.1,3/1/1986,1986,3
be,sa,1986.04,395000,10.1,4/1/1986,1986,4
be,sa,1986.05,395000,10.1,5/1/1986,1986,5
be,sa,1986.06,396000,10.1,6/1/1986,1986,6
be,sa,1986.07,393000,10,7/1/1986,1986,7
be,sa,1986.08,389000,10,8/1/1986,1986,8
be,sa,1986.09,388000,10,9/1/1986,1986,9
be,sa,1986.11,392000,10.1,11/1/1986,1986,11
be,sa,1986.12,391000,10.1,12/1/1986,1986,12
be,sa,1987.01,391000,10.1,1/1/1987,1987,1
be,sa,1987.02,388000,10,2/1/1987,1987,2
be,sa,1987.03,385000,10,3/1/1987,1987,3
be,sa,1987.04,384000,10,4/1/1987,1987,4
be,sa,1987.05,383000,9.9,5/1/1987,1987,5
be,sa,1987.06,382000,9.9,6/1/1987,1987,6
be,sa,1987.07,379000,9.8,7/1/1987,1987,7
be,sa,1987.08,375000,9.7,8/1/1987,1987,8
be,sa,1987.09,372000,9.7,9/1/1987,1987,9
be,sa,1987.11,369000,9.6,11/1/1987,1987,11
be,sa,1987.12,366000,9.5,12/1/1987,1987,12
be,sa,1988.01,362000,9.4,1/1/1988,1988,1
be,sa,1988.02,359000,9.4,2/1/1988,1988,2
be,sa,1988.03,356000,9.3,3/1/1988,1988,3
be,sa,1988.04,352000,9.2,4/1/1988,1988,4
be,sa,1988.05,347000,9.1,5/1/1988,1988,5
be,sa,1988.06,342000,8.9,6/1/1988,1988,6
be,sa,1988.07,338000,8.8,7/1/1988,1988,7
be,sa,1988.08,334000,8.7,8/1/1988,1988,8
be,sa,1988.09,327000,8.5,9/1/1988,1988,9
be,sa,1988.11,315000,8.2,11/1/1988,1988,11
be,sa,1988.12,311000,8.1,12/1/1988,1988,12
be,sa,1989.01,306000,7.9,1/1/1989,1989,1
be,sa,1989.02,301000,7.8,2/1/1989,1989,2
be,sa,1989.03,299000,7.7,3/1/1989,1989,3
be,sa,1989.04,295000,7.6,4/1/1989,1989,4
be,sa,1989.05,290000,7.5,5/1/1989,1989,5
be,sa,1989.06,286000,7.4,6/1/1989,1989,6
be,sa,1989.07,283000,7.3,7/1/1989,1989,7
be,sa,1989.08,281000,7.3,8/1/1989,1989,8
be,sa,1989.09,278000,7.2,9/1/1989,1989,9
be,sa,1989.11,270000,7,11/1/1989,1989,11
be,sa,1989.12,267000,6.9,12/1/1989,1989,12
be,sa,1990.01,264000,6.8,1/1/1990,1990,1
be,sa,1990.02,261000,6.7,2/1/1990,1990,2
